City,Region,Cluster,Baseline_Stability,Stability
Crescent City,NORTH AMERICA,B,0.766040578,0.621754629
Crestview,NORTH AMERICA,B,0.761189133,0.646701038
Criciuma,SOUTH AMERICA,B,0.766040578,0.457036186
Cristalina,SOUTH AMERICA,D,0.656673658,0.725789457
Crookston,NORTH AMERICA,A,0.983337674,0.970105824
Crotone,EUROPE,B,0.802774415,0.708439015
Cruzeiro do Sul,SOUTH AMERICA,E,0.973267257,0.973845021
Cuamba,AFRICA,D,0.555454658,0.660015847
Cuauhtemoc,NORTH AMERICA,C,0.847576205,0.815904938
Cubal,AFRICA,D,0.555454658,0.659878971
Cucuta,SOUTH AMERICA,E,0.973267257,0.972142463
Cuddalore,ASIA,D,0.656673658,0.716457638
Cuenca,SOUTH AMERICA,C,0.307292379,0.583984306
Cuencame,NORTH AMERICA,C,0.845722395,0.777210571
Cuernavaca,NORTH AMERICA,D,0.555454658,0.660368305
Cuevo,SOUTH AMERICA,D,0.555454658,0.656742311
Cuiaba,SOUTH AMERICA,D,0.656673658,0.72536826
Culiacan,NORTH AMERICA,D,0.555454658,0.658724835
Cumana,SOUTH AMERICA,D,0.656280074,0.717539482
Cumberland,NORTH AMERICA,B,0.868270289,0.84354025
Curanilahue,SOUTH AMERICA,B,0.76663205,0.697272337
Curepipe,AFRICA,E,0.973267257,0.9736097
Curico,SOUTH AMERICA,C,0.848272162,0.799734202
Curitiba,SOUTH AMERICA,B,0.761189133,0.640133
Curvelo,SOUTH AMERICA,D,0.555454658,0.698089177
Cusco,SOUTH AMERICA,C,0.847849922,0.806874617
Cutral Co,SOUTH AMERICA,C,0.848272162,0.755119605
Cuttack,ASIA,D,0.656673658,0.712498109
Cyangugu,AFRICA,D,0.6566095,0.721682417
Da Lat,ASIA,D,0.656673658,0.699312006
Da Nang,ASIA,E,0.971288496,0.798142934
Daan,ASIA,A,0.983337674,0.970134097
Dabou,AFRICA,D,0.651125848,0.636007507
Daegu,ASIA,B,0.868270289,0.843288622
Daejeon,ASIA,B,0.868270289,0.842784409
Dagupan,MALAY ARCHIPELAGO,D,0.653811845,0.650029997
Dakar,AFRICA,D,0.555454658,0.659556295
Dalandzadgad,ASIA,A,0.983337674,0.912149505
Dalby,AUSTRALIA,C,0.847576205,0.819070908
Dalhart,NORTH AMERICA,C,0.848272162,0.802689618
Dali1,ASIA,C,0.498774495,0.560605776
Dali2,ASIA,C,0.848272162,0.725243492
Dalian,ASIA,A,0.980410233,0.78263276
Dallas,NORTH AMERICA,B,0.802774415,0.741953421
Dalnegorsk,ASIA,A,0.983337674,0.970068629
Dalnerechensk,ASIA,A,0.983337674,0.970061661
Daloa,AFRICA,D,0.656673658,0.708288928
Dalton,NORTH AMERICA,B,0.802774415,0.794057578
DamanhÌÈr,AFRICA,C,0.847576205,0.817836767
Damascus,ASIA,C,0.848272162,0.822784859
Dandong,ASIA,A,0.983337674,0.970167501
Dangriga,NORTH AMERICA,E,0.973267257,0.973661829
Danjiangkou,ASIA,C,0.848272162,0.642358971
Danville,NORTH AMERICA,B,0.856390646,0.833446455
Daqing,ASIA,A,0.983337674,0.970136864
Dar es Salaam,AFRICA,D,0.656673658,0.712630109
Darnah,AFRICA,C,0.848272162,0.813525783
Darregueira,SOUTH AMERICA,C,0.848272162,0.819178506
Darwin,AUSTRALIA,D,0.654549661,0.674102362
Dasoguz,ASIA,C,0.847580093,0.707990944
Datong,ASIA,A,0.983337674,0.936536558
Daugavpils,EUROPE,A,0.983337674,0.783048594
Dauphin,NORTH AMERICA,A,0.983337674,0.969977861
Davangere,ASIA,D,0.555454658,0.659534802
Davao,MALAY ARCHIPELAGO,E,0.973267257,0.973658487
Davenport,NORTH AMERICA,B,0.866816369,0.783198264
David,SOUTH AMERICA,E,0.973267257,0.973622667
Dawei,ASIA,E,0.973267257,0.973399137
Dawmat al Jandal,ASIA,C,0.848272162,0.822681741
Dawson Creek,NORTH AMERICA,A,0.983337674,0.970118835
Dayr az Azwr,ASIA,C,0.848272162,0.822220466
Dayton,NORTH AMERICA,B,0.868270289,0.842963491
Daytona Beach,NORTH AMERICA,B,0.771259972,0.713158962
De Aar,AFRICA,C,0.847576205,0.81428586
Debre Birhan,AFRICA,D,0.555454658,0.638821183
Debre Markos,AFRICA,D,0.607636644,0.689807533
Debrecen,EUROPE,B,0.867910591,0.842654042
Decatur,NORTH AMERICA,B,0.868270289,0.84179921
Deer Lake,NORTH AMERICA,A,0.983337674,0.922969854
Dehibat,AFRICA,C,0.847849922,0.822957334
Dehra Dun,ASIA,D,0.653811845,0.650872936
Del Rio,NORTH AMERICA,C,0.847849922,0.822881936
Delano,NORTH AMERICA,C,0.848272162,0.823033685
Delhi,ASIA,F,0.964294118,0.888619869
Delicias,NORTH AMERICA,C,0.847576205,0.816658371
Demba,AFRICA,D,0.656673658,0.701964087
Dembi Dolo,AFRICA,D,0.656673658,0.713912884
Deming,NORTH AMERICA,C,0.847576205,0.815749187
Dengzhou,ASIA,C,0.848272162,0.620744886
Deniliquin,AUSTRALIA,C,0.848272162,0.671945456
Denizli,ASIA,C,0.290070762,0.468006943
Denow,ASIA,C,0.848272162,0.821010186
Denpasar,MALAY ARCHIPELAGO,E,0.973267257,0.9583908
Denton,NORTH AMERICA,B,0.802774415,0.736256614
Denver,NORTH AMERICA,C,0.291235614,0.435753287
Dera Ghazi Khan,ASIA,C,0.642606532,0.563134071
Dera Ismail Khan,ASIA,C,0.642606532,0.60203413
Derbent,EUROPE,B,0.868270289,0.83488352
Derzhavinsk,ASIA,A,0.983337674,0.970051963
Des Moines,NORTH AMERICA,B,0.143887208,0.511936663
Desaguadero,SOUTH AMERICA,C,0.847849922,0.74862295
Dese,AFRICA,D,0.555454658,0.654796747
Detroit,NORTH AMERICA,B,0.867910591,0.842223902
Devils Lake,NORTH AMERICA,A,0.983337674,0.970034293
Devonport,AUSTRALIA,B,0.802774415,0.816404244
Deyang,ASIA,D,0.555454658,0.59740244
Dezful,ASIA,C,0.847576205,0.811361303
Dezhou,ASIA,A,0.914344186,0.638717183
Dhaka,ASIA,F,0.959823529,0.873830854
Dhamar,ASIA,C,0.845722395,0.795174665
Dhanbad,ASIA,D,0.555454658,0.674618674
Dhule,ASIA,D,0.555454658,0.658833448
Diamantina,SOUTH AMERICA,D,0.656673658,0.725283085
Dibaya,AFRICA,D,0.656673658,0.724870858
Dibrugarh,ASIA,E,0.973267257,0.934144653
Dickinson,NORTH AMERICA,A,0.983337674,0.962562644
Dieppe,EUROPE,B,0.868270289,0.844211659
Diffa,AFRICA,D,0.555454658,0.659240442
Digby,NORTH AMERICA,B,0.866816369,0.816940138
Dijon,EUROPE,B,0.868270289,0.843437993
Dila,AFRICA,D,0.555454658,0.616035995
Dili,MALAY ARCHIPELAGO,D,0.656673658,0.726976386
Dillingham,NORTH AMERICA,A,0.983337674,0.970039959
Dillon,NORTH AMERICA,A,0.764213953,0.741666811
Dilolo,AFRICA,D,0.555454658,0.661160234
Dimbokro,AFRICA,D,0.656673658,0.724846636
Dimitrovgrad,EUROPE,A,0.983337674,0.970253482
Dindigul,ASIA,D,0.555454658,0.665530602
Dingzhou,ASIA,A,0.865822326,0.613161054
Diourbel,AFRICA,D,0.555454658,0.658050122
Dire Dawa,AFRICA,D,0.555454658,0.629323145
Dirj,AFRICA,C,0.848272162,0.822950187
Divinopolis,SOUTH AMERICA,D,0.656673658,0.726057817
Diyarbakir,ASIA,C,0.848272162,0.804439663
Djambala,AFRICA,D,0.656673658,0.692474833
Djanet,AFRICA,C,0.847849922,0.822038362
Djelfa,AFRICA,C,0.848272162,0.81652811
Djenne,AFRICA,D,0.555454658,0.657762254
Djibouti,AFRICA,D,0.555454658,0.630778253
Djougou,AFRICA,D,0.656673658,0.707957427
Dnipropetrovsk,EUROPE,B,0.866816369,0.82932288
Doba,AFRICA,D,0.555454658,0.662656512
Dobrich,EUROPE,B,0.867910591,0.843211281
Dodge City,NORTH AMERICA,C,0.448304821,0.554362148
Dodoma,AFRICA,D,0.555454658,0.656863999
Doha,ASIA,C,0.848272162,0.77442955
Dolbeau,NORTH AMERICA,A,0.983337674,0.969967652
Dolinsk,ASIA,A,0.983337674,0.970178587
Dolo Bay,AFRICA,D,0.555454658,0.658791252
Dolores,SOUTH AMERICA,B,0.802774415,0.79403612
Dombarovskiy,ASIA,A,0.983337674,0.970162924
Dondo1,AFRICA,D,0.656673658,0.725729116
Dondo2,AFRICA,D,0.555454658,0.669295621
Donegal,EUROPE,B,0.766040578,0.778076419
Donetsk,EUROPE,B,0.866816369,0.774988119
Dong Hoi,ASIA,E,0.973267257,0.972468096
Dongola,AFRICA,C,0.642606532,0.669715392
Dortmund,EUROPE,B,0.868270289,0.843565611
Dosso,AFRICA,D,0.555454658,0.657840515
Dothan,NORTH AMERICA,B,0.787756534,0.739355604
Douala,AFRICA,E,0.973267257,0.973513315
Douglas1,NORTH AMERICA,B,0.802774415,0.723364894
Douglas2,NORTH AMERICA,C,0.286940124,0.351531671
Douglas3,EUROPE,B,0.868270289,0.844740018
Douglas4,NORTH AMERICA,C,0.847576205,0.81325258
Dourados,SOUTH AMERICA,D,0.656673658,0.709163269
Dover1,NORTH AMERICA,B,0.868270289,0.84193037
Dover2,EUROPE,B,0.868270289,0.843657984
Drammen,EUROPE,B,0.863401651,0.799928211
Dresden,EUROPE,B,0.867396836,0.841236706
Drobeta-Turnu Severin,EUROPE,B,0.868270289,0.843473027
Drogheda,EUROPE,B,0.868270289,0.843474877
Drohobych,EUROPE,A,0.556117209,0.666635642
Drummondville,NORTH AMERICA,A,0.983337674,0.960198647
Dryden,NORTH AMERICA,A,0.983337674,0.970075774
Dubayy,ASIA,C,0.848272162,0.821261394
Dubbo,AUSTRALIA,C,0.848272162,0.730607995
Dublin1,NORTH AMERICA,B,0.802774415,0.752185973
Dublin2,EUROPE,B,0.868270289,0.843404247
Dubrovnik,EUROPE,B,0.802774415,0.769758576
Dubuque,NORTH AMERICA,A,0.983337674,0.97002421
Dudinka,ASIA,A,0.983337674,0.970094537
Duisburg,EUROPE,B,0.868270289,0.843728402
Duitama,SOUTH AMERICA,C,0.847576205,0.715373786
Duluth,NORTH AMERICA,A,0.983337674,0.969986185
Duma,ASIA,C,0.848272162,0.821434778
Dumas,NORTH AMERICA,C,0.848272162,0.811518436
Dumfries,EUROPE,B,0.868270289,0.843872618
Dumyat,AFRICA,C,0.848272162,0.822873761
Dund-Us,ASIA,A,0.983337674,0.961247266
Dundalk,EUROPE,B,0.868270289,0.843700756
Dundee,EUROPE,B,0.868270289,0.843453536
Dundo,AFRICA,D,0.656673658,0.711120374
Dunedin,POLYNESIA,B,0.868270289,0.844221811
Dunhua,ASIA,A,0.983337674,0.970188318
Dunhuang,ASIA,C,0.286940124,0.359623727
Duque de Caxias,SOUTH AMERICA,B,0.05523315,0.325756981
Durango1,NORTH AMERICA,C,0.847576205,0.817348801
Durango2,NORTH AMERICA,C,0.289231726,0.353675489
Durazno,SOUTH AMERICA,B,0.771259972,0.727339543
Durban,AFRICA,B,0.802774415,0.714752975
Durham,NORTH AMERICA,B,0.812161623,0.82527783
Durres,EUROPE,B,0.802774415,0.742496281
Dushanbe,ASIA,C,0.848272162,0.818812204
Dyatkovo,EUROPE,A,0.983337674,0.970016694
Dzaoudzi,AFRICA,D,0.656673658,0.699533162
Dzerzhinsk,EUROPE,A,0.983337674,0.970032401
Dzhankoy,EUROPE,B,0.868270289,0.833474452
Dzuunharaa,ASIA,A,0.983337674,0.963698327
DÌùsseldorf,EUROPE,B,0.868270289,0.844134216
Eagle,NORTH AMERICA,A,0.983337674,0.970065376
Eagle Pass,NORTH AMERICA,C,0.847849922,0.821968932
East London,AFRICA,B,0.802774415,0.722792036
Eastmain,NORTH AMERICA,A,0.983337674,0.970006064
Eau Claire,NORTH AMERICA,A,0.983337674,0.970020632
Ebolowa,AFRICA,E,0.973267257,0.968409627
Echuca,AUSTRALIA,C,0.846881804,0.619980534
Ed Damazin,AFRICA,D,0.555454658,0.659026961
Ed Dueim,AFRICA,D,0.555454658,0.655039505
EdDamer,AFRICA,D,0.555454658,0.631299665
Edea,AFRICA,E,0.973267257,0.97185408
Edinburg,NORTH AMERICA,C,0.847576205,0.818793039
Edinburgh,EUROPE,B,0.868270289,0.843797538
Edirne,EUROPE,B,0.802774415,0.746809323
Edmonton,NORTH AMERICA,A,0.983337674,0.970066619
Edmundston,NORTH AMERICA,A,0.983337674,0.970042506
Egilsstadir,NORTH AMERICA,A,0.245935814,0.60011056
Eindhoven,EUROPE,B,0.868270289,0.842986442
Eirunepe,SOUTH AMERICA,E,0.973267257,0.973619031
Ekibastuz,ASIA,A,0.983337674,0.970155852
El Alamein,AFRICA,C,0.847576205,0.819889337
El Arish,AFRICA,C,0.847576205,0.819634329
El Banco,SOUTH AMERICA,D,0.629744602,0.574694812
El Bayadh,AFRICA,C,0.848272162,0.791251801
El Calafate,SOUTH AMERICA,A,0.560954419,0.589484547
El Carmen de Bolivar,SOUTH AMERICA,D,0.656673658,0.70963086
El Centro,NORTH AMERICA,C,0.848272162,0.82269568
El Daba,AFRICA,C,0.847576205,0.817900472
El Dorado1,NORTH AMERICA,B,0.802774415,0.779353421
El Dorado2,SOUTH AMERICA,E,0.973267257,0.973723429
El Faiyum,AFRICA,C,0.848272162,0.822758943
El Fasher,AFRICA,C,0.642606532,0.593883544
El Fuerte,NORTH AMERICA,D,0.555454658,0.654335339
El Giza,AFRICA,C,0.848272162,0.822079771
El Golea,AFRICA,C,0.848272162,0.822527579
El Jadida,AFRICA,C,0.848272162,0.82204545
El Kef,AFRICA,C,0.848272162,0.819766301
El Kharga,AFRICA,C,0.848272162,0.822680659
El Maiten,SOUTH AMERICA,C,0.290691291,0.393617824
El Manaqil,AFRICA,D,0.555454658,0.65860421
El Mansura,AFRICA,C,0.848272162,0.822904195
El Manteco,SOUTH AMERICA,D,0.656673658,0.694880393
El Minya,AFRICA,C,0.848272162,0.823193691
El Obeid,AFRICA,D,0.555454658,0.633128892
El Oued,AFRICA,C,0.848272162,0.822740153
El Paso,NORTH AMERICA,C,0.848272162,0.820665304
El Qasr,AFRICA,C,0.847849922,0.821393783
El Suweis,AFRICA,C,0.848272162,0.822178478
El Tigre,SOUTH AMERICA,D,0.555454658,0.697685127
El Tur,AFRICA,C,0.847576205,0.811405828
Elazig,ASIA,C,0.848272162,0.693882777
Elbasan,EUROPE,B,0.802774415,0.742398277
Elblag,EUROPE,B,0.866816369,0.817362632
Eldama Ravine,AFRICA,D,0.555454658,0.652622368
Eldorado,NORTH AMERICA,D,0.555454658,0.659536011
Eldoret,AFRICA,D,0.555454658,0.626561582
Elgin,NORTH AMERICA,B,0.866816369,0.760087002
Elista,EUROPE,A,0.983337674,0.969996444
Elk,EUROPE,A,0.983337674,0.858199777
Elkhart,NORTH AMERICA,B,0.866816369,0.829695459
Elko,NORTH AMERICA,C,0.289793935,0.412560741
Elmira,NORTH AMERICA,B,0.863401651,0.598917276
Ely1,NORTH AMERICA,C,0.286940124,0.332915137
Ely2,NORTH AMERICA,A,0.983337674,0.970077462
Embi,ASIA,A,0.983337674,0.970074141
Embu,AFRICA,D,0.6566095,0.71965872
Emden,EUROPE,B,0.867910591,0.843160382
Emerald,AUSTRALIA,D,0.555454658,0.652520272
Emmonak,NORTH AMERICA,A,0.983337674,0.970143423
Emporia,NORTH AMERICA,B,0.133461486,0.360445165
En Nuhud,AFRICA,D,0.555454658,0.637118093
Encarnacion,SOUTH AMERICA,E,0.973267257,0.966683711
Ende,MALAY ARCHIPELAGO,D,0.656673658,0.699866933
Engels,EUROPE,A,0.983337674,0.970083374
Enid,NORTH AMERICA,B,0.802774415,0.750916466
Ensenada,NORTH AMERICA,C,0.848272162,0.817914129
Entebbe,AFRICA,E,0.973267257,0.966478597
Enterprise,NORTH AMERICA,B,0.802774415,0.768867163
Enugu,AFRICA,D,0.653811845,0.665436107
Er Rachidia,AFRICA,C,0.847849922,0.822611482
Erechim,SOUTH AMERICA,E,0.265927434,0.605203915
Eregli,ASIA,C,0.848272162,0.727586719
Erenhot,ASIA,A,0.983337674,0.962291998
Erfurt,EUROPE,B,0.866816369,0.841101101
Ergun Zuoqi,ASIA,A,0.983337674,0.970142983
Erie,NORTH AMERICA,B,0.867396836,0.840026602
Ermoupoli,EUROPE,C,0.290070762,0.443522817
Ertis,ASIA,A,0.983337674,0.970043811
Erymentau,ASIA,A,0.983337674,0.969969044
Erzincan,ASIA,C,0.443056765,0.570863107
Erzurum,ASIA,A,0.983337674,0.955470228
Esbjerg,EUROPE,B,0.867910591,0.843130174
Escanaba,NORTH AMERICA,B,0.867910591,0.819632249
Escuinapa,NORTH AMERICA,D,0.555454658,0.685633981
Escuintla,NORTH AMERICA,E,0.884515044,0.77908228
Eseka,AFRICA,E,0.973267257,0.972356035
Esik,ASIA,A,0.983337674,0.969952035
Esil,ASIA,A,0.983337674,0.97000593
Eskisehir,ASIA,C,0.290070762,0.42411678
Esmeraldas,SOUTH AMERICA,D,0.656673658,0.700720421
Esperance,AUSTRALIA,C,0.848272162,0.640204984
Esperanza,NORTH AMERICA,D,0.553492906,0.619325717
Espungabera,AFRICA,D,0.555454658,0.667666614
Esquel,SOUTH AMERICA,B,0.806511004,0.737885622
Essen,EUROPE,B,0.868270289,0.844012398
Estancia,SOUTH AMERICA,E,0.973267257,0.973347443
Esteli,NORTH AMERICA,D,0.595528069,0.711906047
Etawah,ASIA,D,0.555454658,0.660516097
Eugene,NORTH AMERICA,B,0.802774415,0.751489315
Eumseong,ASIA,A,0.983337674,0.864192859
Eureka,NORTH AMERICA,B,0.802774415,0.788202751
Evanston,NORTH AMERICA,B,0.868270289,0.8435883
Evansville,NORTH AMERICA,B,0.856390646,0.834087469
Everett,NORTH AMERICA,B,0.864096286,0.839548808
Ewo,AFRICA,D,0.656673658,0.698534068
Exeter,EUROPE,B,0.868270289,0.843888562
Exmouth,AUSTRALIA,C,0.845722395,0.760612107
Eyl,AFRICA,D,0.555454658,0.655198385
Eyumojok,AFRICA,E,0.973267257,0.971806428
Fada,AFRICA,C,0.642606532,0.639932462
Fairbanks,NORTH AMERICA,A,0.983337674,0.970163904
Faisalabad,ASIA,D,0.555454658,0.64671788
Faizabad,ASIA,D,0.555454658,0.666929094
Falfurrias,NORTH AMERICA,C,0.845722395,0.736978443
Farafangana,AFRICA,E,0.973267257,0.973641994
Farah,ASIA,C,0.847576205,0.816999
Faranah,AFRICA,D,0.619166564,0.70217448
Fargo,NORTH AMERICA,A,0.983337674,0.970126173
Fargona,ASIA,C,0.848272162,0.737642907
Faribault,NORTH AMERICA,A,0.983337674,0.969975015
Farmington,NORTH AMERICA,C,0.848272162,0.716019458
Faro,EUROPE,C,0.848272162,0.748933913
Fasa,ASIA,C,0.847576205,0.821490058
Fatehpur,ASIA,D,0.555454658,0.660084762
Fayetteville1,NORTH AMERICA,B,0.802774415,0.803635668
Fayetteville2,NORTH AMERICA,B,0.856390646,0.833289633
Feira de Santana,SOUTH AMERICA,D,0.654806292,0.545747973
Felipe Carrillo Puerto,NORTH AMERICA,D,0.656673658,0.701069205
Fengcheng,ASIA,B,0.027488996,0.469725392
Fengjie,ASIA,B,0.081901651,0.445815708
Fengshan,ASIA,E,0.973267257,0.926165598
Fengzhen,ASIA,A,0.983337674,0.936565079
Ferkessedougou,AFRICA,D,0.656673658,0.723883114
Fernandopolis,SOUTH AMERICA,D,0.656673658,0.727203822
Ferrara,EUROPE,B,0.868270289,0.842500003
Ferrenafe,SOUTH AMERICA,C,0.642606532,0.661957627
Feyzabad,ASIA,C,0.848272162,0.805410861
Fez,AFRICA,C,0.848272162,0.820967043
Fianarantsoa,AFRICA,D,0.656673658,0.725651411
Filadelfia,SOUTH AMERICA,D,0.555454658,0.658507592
Finnsnes,EUROPE,A,0.245935814,0.598815714
Firozabad,ASIA,D,0.555454658,0.659410017
Flagstaff,NORTH AMERICA,C,0.289793935,0.393005506
Flensburg,EUROPE,B,0.867396836,0.84193962
Flin Flon,NORTH AMERICA,A,0.983337674,0.970119494
Flint,NORTH AMERICA,B,0.866816369,0.75366792
Florence1,NORTH AMERICA,B,0.802774415,0.784135505
Florence2,NORTH AMERICA,B,0.802774415,0.785154301
Florence3,EUROPE,B,0.802774415,0.765203123
Florencia,SOUTH AMERICA,E,0.973267257,0.97353173
Flores,NORTH AMERICA,D,0.44533066,0.524383407
Floriano,SOUTH AMERICA,D,0.555454658,0.678286961
Florianopolis,SOUTH AMERICA,B,0.761189133,0.580124215
Focsani,EUROPE,B,0.867396836,0.756808511
Foggia,EUROPE,B,0.802774415,0.73375863
Fond du Lac,NORTH AMERICA,A,0.983337674,0.88726685
Fonte Boa,SOUTH AMERICA,E,0.973267257,0.973612577
Forbes,AUSTRALIA,C,0.848272162,0.7748961
Formiga,SOUTH AMERICA,D,0.656673658,0.726033819
Formosa1,SOUTH AMERICA,B,0.028137552,0.339464679
Formosa2,SOUTH AMERICA,D,0.620100555,0.713795875
Forster-Tuncurry,AUSTRALIA,B,0.769748968,0.742540145
Fort Chipewyan,NORTH AMERICA,A,0.983337674,0.969979703
Fort Collins,NORTH AMERICA,C,0.289231726,0.384234095
Fort Good Hope,NORTH AMERICA,A,0.983337674,0.970038969
Fort Lauderdale,NORTH AMERICA,B,0.76663205,0.594271889
Fort McMurray,NORTH AMERICA,A,0.983337674,0.970111345
Fort Pierce,NORTH AMERICA,B,0.05523315,0.279913004
Fort Resolution,NORTH AMERICA,A,0.983337674,0.970057616
Fort Severn,NORTH AMERICA,A,0.983337674,0.969909083
Fort Shevchenko,ASIA,A,0.983337674,0.968976835
Fort Simpson,NORTH AMERICA,A,0.983337674,0.970014734
Fort Smith1,NORTH AMERICA,B,0.802774415,0.790358593
Fort Smith2,NORTH AMERICA,A,0.983337674,0.969999714
Fort St. John,NORTH AMERICA,A,0.983337674,0.970143998
Fort Stockton,NORTH AMERICA,C,0.847576205,0.819224537
Fort Wayne,NORTH AMERICA,B,0.867910591,0.840554472
Fort Yukon,NORTH AMERICA,A,0.983337674,0.970035735
Fort-de-France,SOUTH AMERICA,E,0.973267257,0.973494085
Fortaleza,SOUTH AMERICA,D,0.656673658,0.688825368
Foshan,ASIA,D,0.504936459,0.569500645
Foumban,AFRICA,D,0.441640345,0.422246621
Foz do Iguacu,SOUTH AMERICA,E,0.973267257,0.831534198
Franca,SOUTH AMERICA,D,0.656673658,0.692381654
Franceville,AFRICA,D,0.656673658,0.699311033
Francistown,AFRICA,C,0.845722395,0.783579785
Frankfort,NORTH AMERICA,B,0.863615543,0.841529297
Frankfurt,EUROPE,B,0.868270289,0.843836553
Fredericksburg,NORTH AMERICA,B,0.868270289,0.844938249
Fredericton,NORTH AMERICA,B,0.863401651,0.638894268
Frederikshavn,EUROPE,B,0.866816369,0.838933439
Freeport1,NORTH AMERICA,B,0.767789546,0.712015703
Freeport2,NORTH AMERICA,D,0.441640345,0.384521135
Freetown,AFRICA,E,0.973267257,0.972834307
Freiburg,EUROPE,B,0.867910591,0.84367785
Fresnillo,NORTH AMERICA,C,0.847576205,0.811488585
Fresno,NORTH AMERICA,C,0.848272162,0.8075215
Fria,AFRICA,E,0.973267257,0.96601855
Frias,SOUTH AMERICA,C,0.846419907,0.796213687
Frolovo,EUROPE,A,0.983337674,0.97011357
Frontera,NORTH AMERICA,D,0.654549661,0.681921512
Frutal,SOUTH AMERICA,D,0.656673658,0.723114382
Ft. Dodge,NORTH AMERICA,A,0.983337674,0.970045956
Ft. Myers,NORTH AMERICA,D,0.656673658,0.622240342
Ft. Worth,NORTH AMERICA,B,0.802774415,0.734045817
Fuan,ASIA,B,0.752169188,0.667516276
Fujin,ASIA,A,0.983337674,0.970200968
Fukui,ASIA,B,0.761189133,0.640771487
Fukuoka,ASIA,B,0.76663205,0.725678485
Fukushima,ASIA,B,0.868270289,0.842719042
Fulin,ASIA,C,0.847849922,0.619453712
Funchal,AFRICA,B,0.802774415,0.753331537
Funtua,AFRICA,D,0.555454658,0.658411006
Furth,EUROPE,B,0.867910591,0.842488739
Fushun,ASIA,A,0.983337674,0.970169576
Fuxin,ASIA,A,0.983337674,0.970102681
Fuyang,ASIA,B,0.135517882,0.470798947
Fuyu,ASIA,A,0.983337674,0.970079305
Fuzhou,ASIA,B,0.802774415,0.74714378
Gaalkacyo,AFRICA,D,0.555454658,0.655056129
Gabes,AFRICA,C,0.848272162,0.822791784
Gaborone,AFRICA,C,0.846419907,0.799062811
Gadsden,NORTH AMERICA,B,0.802774415,0.781085975
Gafsa,AFRICA,C,0.848272162,0.823319993
Gagnoa,AFRICA,D,0.656673658,0.700771269
Gainesville,NORTH AMERICA,B,0.769748968,0.668080638
Galati,EUROPE,B,0.867910591,0.842497177
Galesburg,NORTH AMERICA,B,0.866816369,0.754970093
Galle,ASIA,E,0.973267257,0.973539621
Gallup,NORTH AMERICA,C,0.844876361,0.65629911
Galveston,NORTH AMERICA,B,0.798818432,0.769668592
Galway,EUROPE,B,0.868270289,0.843657506
Gamba,AFRICA,D,0.654549661,0.676281382
Ganca,ASIA,C,0.291235614,0.416627619
Gandajika,AFRICA,D,0.656673658,0.699776448
Gander,NORTH AMERICA,B,0.863401651,0.682500762
Gandhinagar,ASIA,D,0.555454658,0.65873335
Gangneung,ASIA,B,0.867910591,0.842079073
Gangtok,ASIA,E,0.973267257,0.957001336
Gannan,ASIA,A,0.983337674,0.970150312
Ganzhou,ASIA,B,0.743662999,0.66398525
Gao,AFRICA,D,0.555454658,0.631035172
Garanhuns,SOUTH AMERICA,D,0.555454658,0.683686705
Garca,SOUTH AMERICA,D,0.656673658,0.725017269
Garden City,NORTH AMERICA,C,0.49076283,0.573785151
Gardiz,ASIA,C,0.287748056,0.368775794
Garissa,AFRICA,D,0.555454658,0.659305058
Garoowe,AFRICA,D,0.555454658,0.637886964
Garoua,AFRICA,D,0.555454658,0.66549538
Gary,NORTH AMERICA,B,0.867910591,0.842072161
Garzon,SOUTH AMERICA,E,0.973267257,0.928668348
Gashua,AFRICA,D,0.555454658,0.657136951
Gaspe,NORTH AMERICA,A,0.983337674,0.969104566
Gatchina,EUROPE,A,0.983337674,0.969481084
Gavle,EUROPE,A,0.245935814,0.559330724
Gawler,AUSTRALIA,C,0.290070762,0.424772848
Gay,EUROPE,A,0.983337674,0.969963225
Gaya1,AFRICA,D,0.555454658,0.660939494
Gaya2,ASIA,D,0.555454658,0.660066773
Gaza,ASIA,C,0.848272162,0.814283283
Gaziantep,ASIA,C,0.602006998,0.61573108
Gbadolite,AFRICA,D,0.656673658,0.698777305
Gbarnga,AFRICA,D,0.441640345,0.458699996
Gdansk,EUROPE,B,0.866816369,0.839935826
Gdynia,EUROPE,B,0.866816369,0.832967596
Gedaref,AFRICA,D,0.555454658,0.660047291
Geelong,AUSTRALIA,B,0.802774415,0.767997353
Geita,AFRICA,D,0.555454658,0.661407294
Gejiu,ASIA,D,0.230659469,0.419151949
Gelendzhik,ASIA,B,0.868270289,0.842227024
Gemena,AFRICA,D,0.441640345,0.416408562
Geneina,AFRICA,D,0.555454658,0.648131733
General Conesa,SOUTH AMERICA,C,0.848272162,0.817182565
General Guemes,SOUTH AMERICA,C,0.846419907,0.796192621
General Pico,SOUTH AMERICA,C,0.848272162,0.782612842
General Roca,SOUTH AMERICA,C,0.848272162,0.789915943
General Santos,MALAY ARCHIPELAGO,D,0.441640345,0.425269259
Geneva,EUROPE,B,0.868270289,0.843528613
Genoa,EUROPE,B,0.856390646,0.831793494
Gent,EUROPE,B,0.868270289,0.842418093
George,AFRICA,B,0.802774415,0.719917742
George Town1,NORTH AMERICA,D,0.454389883,0.545126739
George Town2,ASIA,E,0.973267257,0.973667635
Georgetown1,SOUTH AMERICA,E,0.973267257,0.973683811
